EIA_ID,plant,state,bal_auth,bus,capacity
152,Davis,AZ,WALC,407321,254.8
153,Glen Canyon,AZ,WALC,409241,1312.0
154,Hoover Dam (NV),NV,WALC,304511,1039.4
217,Balch 1,CA,CISO,234871,31.0
218,Balch 2,CA,CISO,234871,97.2
219,Belden,CA,CISO,202951,117.9
220,Bucks Creek,CA,CISO,203571,66.0
221,Butt Valley,CA,CISO,204721,40.0
222,Caribou 1,CA,CISO,203761,73.8
223,Caribou 2,CA,CISO,203761,117.9
229,Cow Creek,CA,CISO,203691,1.4
231,Cresta,CA,CISO,203301,73.8
235,Drum 1,CA,CISO,204101,49.2
236,Drum 2,CA,CISO,204101,53.1
239,Electra,CA,CISO,232771,102.5
240,Haas,CA,CISO,233191,135.0
241,Halsey,CA,CISO,203441,13.6
242,Hamilton Branch,CA,CISO,204721,5.3
249,James B Black,CA,CISO,203191,168.6
254,Kings River,CA,CISO,233071,48.6
265,Pit 1,CA,CISO,205251,69.2
266,Pit 3,CA,CISO,203231,80.1
267,Pit 4,CA,CISO,203531,103.4
268,Pit 5,CA,CISO,203191,141.6
269,Pit 6,CA,CISO,204941,79.2
270,Pit 7,CA,CISO,203671,109.8
272,Poe,CA,CISO,203791,142.8
275,Rock Creek,CA,CISO,203281,126.0
279,Salt Springs,CA,CISO,234901,42.0
285,Stanislaus,CA,CISO,234231,81.9
287,Tiger Creek,CA,CISO,233701,52.2
317,Big Creek 1,CA,CISO,233241,88.4
318,Big Creek 2,CA,CISO,233531,66.6
319,Big Creek 3,CA,CISO,233111,174.5
320,Big Creek 4,CA,CISO,233061,100.0
321,Big Creek 8,CA,CISO,233531,75.0
322,Big Creek 2A,CA,CISO,233531,110.0
328,Borel,CA,CISO,262051,12.0
337,Kaweah 1,CA,CISO,234851,2.3
340,Kern River No. 1,CA,CISO,260341,26.4
342,Lundy,CA,CISO,233931,3.0
344,Mammoth Pool,CA,CISO,234931,190.0
353,Poole,CA,CISO,234931,11.3
376,Pardee,CA,CISO,232781,23.6
380,Dion R Holm,CA,CISO,233381,156.8
381,Moccasin,CA,CISO,232811,100.0
382,R C Kirkwood,CA,CISO,233381,115.5
385,Drop 2,CA,IID,287361,10.0
386,Drop 3,CA,IID,287361,9.2
387,Drop 4,CA,IID,287361,19.6
388,Pilot Knob,CA,IID,289151,33.0
391,Big Pine,CA,LDWP,233631,3.2
393,Control Gorge,CA,LDWP,233631,37.5
394,Cottonwood,CA,LDWP,233331,1.6
398,Haiwee,CA,LDWP,233331,5.6
401,Middle Gorge,CA,LDWP,233371,37.5
402,Pleasant Valley,CA,LDWP,233631,3.2
407,Upper Gorge,CA,LDWP,233931,37.5
409,Exchequer,CA,CISO,234691,94.5
410,McSwain,CA,CISO,234691,9.0
412,Chicago Park,CA,CISO,205051,44.0
415,Donnells,CA,CISO,232721,72.0
418,Kelly Ridge,CA,CISO,204391,10.0
419,Woodleaf,CA,CISO,203831,67.2
424,French Meadows,CA,CISO,202831,15.3
425,Middle Fork,CA,CISO,204181,122.4
426,Oxbow,CA,CISO,204541,6.1
427,Ralston,CA,CISO,204541,79.2
430,Camino,CA,BANC,205411,157.8
431,Jaybird,CA,BANC,205411,161.6
432,Loon Lake,CA,BANC,202831,74.1
433,Robbs Peak,CA,BANC,204061,25.5
435,White Rock/Slab Creek,CA,BANC,203131,266.5
437,Edward C Hyatt,CA,CISO,204391,644.1
439,Don Pedro,CA,TIDC,235021,170.8
440,La Grange,CA,TIDC,235031,4.5
441,Folsom,CA,WALC,203961,198.6
442,Judge F Carr,CA,WALC,204821,154.4
443,Keswick,CA,WALC,204621,117.0
445,Shasta,CA,WALC,203901,714.0
447,Parker,CA,WALC,289911,120.0
450,Spring Creek,CA,WALC,204791,180.0
451,Trinity,CA,WALC,203511,140.0
454,Colgate,CA,CISO,205441,315.0
455,Narrows 2,CA,CISO,203721,46.7
472,Georgetown,CO,PSCO,607461,1.2
474,Salida No. 1,CO,PSCO,608271,0.6
476,Shoshone,CO,PSCO,608481,14.4
489,Upper Dawson,CA,TIDC,235031,4.4
505,Boysen,WY,WAUW,701111,15.0
512,Blue Mesa,CO,WACM,608111,86.4
513,Estes,CO,WACM,608561,45.0
514,Morrow Point,CO,WACM,608071,173.2
515,Big Thompson,CO,WACM,607831,4.5
516,Green Mountain,CO,WACM,607981,26.0
517,Marys Lake,CO,WACM,608571,8.1
519,Pole Hill,CO,WACM,607221,38.2
520,Lower Molina,CO,WACM,608471,5.6
521,Upper Molina,CO,WACM,608471,9.9
534,Jones Fork,CA,BANC,204071,10.0
537,Camanche,CA,CISO,204701,10.8
584,Navajo Dam,NM,WACM,532221,30.0
585,Drop 1,CA,IID,407221,5.7
586,East Highline,CA,IID,287331,2.4
622,South Fork Tolt,WA,SCL,109251,16.8
682,Kerckhoff 2,CA,CISO,232931,139.5
790,Gem State,ID,PACE,742681,23.4
